G,I,GI,II
89.3998,-16.0860,0.0000,0.0000
89.3998,-13.4495,0.0000,0.0000
89.5443,11.3141,0.0000,0.0000
89.7953,32.7693,0.0000,0.0000
90.1237,47.3642,0.0000,0.0000
90.5067,55.8648,0.0000,0.0000
90.9270,59.6930,0.0000,0.0000
91.3711,60.1786,0.0000,0.0000
91.8289,58.4142,0.0000,0.0000
92.2926,55.2462,0.0000,0.0000
92.7568,51.3020,0.0000,0.0000
93.2173,47.0283,0.0000,0.0000
93.6715,42.7290,0.0000,0.0000
94.1173,38.5997,0.0000,0.0000
94.5537,34.7572,0.0000,0.0000
94.9800,31.2621,0.0000,0.0000
95.3960,28.1369,0.0000,0.3027
95.8019,25.3790,0.0000,0.3027
96.1978,22.9702,0.0000,0.3027
96.5841,20.8839,0.0000,0.3027
96.9614,19.0889,0.0000,0.3027
97.3302,17.5532,0.0000,0.6306
97.6910,16.2451,0.0000,0.6306
98.0444,15.1354,0.0000,0.6306
98.3910,14.1970,0.0000,0.6306
98.7311,13.4057,0.0000,0.6306
99.0653,12.7400,0.0000,0.9816
99.3942,12.1814,0.0000,0.9816
99.7179,11.7135,0.0000,0.9816
100.0370,11.3224,0.0000,0.9816
100.3519,10.9960,0.0000,0.9816
100.6627,10.7242,0.0000,1.0500
100.9698,10.4984,0.0000,1.0500
101.2734,10.3111,0.0000,1.0500
101.5738,10.1560,0.0000,1.0500
101.8712,10.0281,0.0000,1.0500
102.1657,9.9228,0.0000,1.1095
102.4575,9.8364,0.0000,1.1095
102.7468,9.7657,0.0000,1.1095
103.0337,9.7082,0.0000,1.1095
103.3183,9.6615,0.0000,1.1095
103.6007,9.6238,0.0000,1.1581
103.8810,9.5935,0.0000,1.1581
104.1592,9.5693,0.0000,1.1581
104.4356,9.5500,0.0000,1.1581
104.7100,9.5348,0.0000,1.1581
104.9826,9.5227,0.0000,1.1941
105.2534,9.5131,0.0000,1.1941
105.5225,9.5056,0.0000,1.1941
105.7899,9.4994,0.0000,1.1941
106.0557,9.4944,0.0000,1.1941
106.3199,9.4900,0.0000,1.2162
106.5825,9.4861,0.0000,1.2162
106.8435,9.4823,0.0000,1.2162
107.1030,9.4786,0.0000,1.2162
107.3610,9.4746,0.0000,1.2162
107.6176,9.4704,0.0000,1.2237
107.8727,9.4656,0.0000,1.2237
108.1263,9.4603,0.0000,1.2237
108.3785,9.4552,0.0000,1.2237
108.6291,9.4516,0.0000,1.2237
108.8782,9.4511,0.0000,1.2162
109.1257,9.4552,0.0000,1.2162
109.3714,9.7408,0.0000,1.2162
109.6155,10.1326,0.0000,1.2162
109.8579,10.5884,0.0000,1.2162
110.0985,11.0901,0.0000,1.1941
